paperID,paper title,publish years,authors
963972349,using matched samples to estimate the effects of exercise on mental health from twitter,2015-01-25,virgile landeiro dos reis;aron culotta
971840466,detecting promotional content in wikipedia,2013-10-01,shruti bhosale;heath vinicombe;raymond j mooney
975780734,multi task multi sample learning,2014-09-06,yusuf aytar;andrew zisserman
1003853626,interactive object counting,2014-09-06,carlos arteta;victor s lempitsky;j alison noble;andrew zisserman
1004439037,why assessing relevance in medical ir is demanding,2014-07-01,bevan koopman;guido zuccon
1026270304,training very deep networks,2015-12-07,rupesh kumar srivastava;klaus greff;jurgen schmidhuber
1032684693,context as supervisory signal discovering objects with predictable context,2014-09-06,carl doersch;abhinav gupta;alexei a efros
1061761516,geo social media analytics,2015-05-18,cheng te li;hsun ping hsieh
1067145707,deep learning for the web,2015-05-18,kyomin jung;byoungtak zhang;prasenjit mitra
1202352811,effective deep learning based multi modal retrieval,2016-02-01,wei wang;xiaoyan yang;beng chin ooi;dongxiang zhang;yueting zhuang
1236989346,robust vertex classification,2016-03-01,li chen;cencheng shen;joshua t vogelstein;carey e priebe
1237089097,scene semantics from long term observation of people,2012-10-07,vincent delaitre;david f fouhey;ivan laptev;josef sivic;abhinav gupta;alexei a efros
1257569579,fast training of support vector machines for survival analysis,2015-09-07,sebastian polsterl;nassir navab;amin katouzian
1411846290,generalization in unsupervised learning,2015-09-07,karim t aboumoustafa;dale schuurmans
1423339008,parsing natural scenes and natural language with recursive neural networks,2011-01-01,richard socher;cliff chiungyu lin;christopher d manning;andrew y ng
1431516446,less is more nystrom computational regularization,2015-12-07,alessandro rudi;raffaello camoriano;lorenzo rosasco
1457115475,automatic machine learning automl,2015-07-06,f hutter;b kegl;r caruana;i guyon;h larochelle;e viegas
1471542436,aslib a benchmark library for algorithm selection,2016-08-01,bernd bischl;pascal kerschke;lars kotthoff;marius lindauer;yuri malitsky;alexandre frechette;holger h hoos;frank hutter;kevin leytonbrown;kevin tierney;joaquin vanschoren
1481746448,discriminant laplacian embedding,2010-07-11,hua wang;heng huang;chris h q ding
1482242411,dynamic objectness for adaptive tracking,2012-11-05,severin stalder;helmut grabner;luc van gool
